,Sequencing_ID,Country,Source,Strain,Facility,Population,Collection_date,Sample_type,Preservative,Preservation time of faecal sample,Animal_ID,Birthdate,Body_mass_g,Sex,Health_status,Sample used in cross-sectional lab vs wild analyses,"Sample used in longitudinal, microbiota distance-based lab vs wild analyses","Sample used in longitudinal, ASV retention lab vs wild analyses",Sample used in mainland vs island analyses,Sample used in sample preservative analyses,Sample used in faecal sample exposure analyses
Sample1104,Sample1104,UK,Wild,NA,NA,Skokholm,22/08/2020,Faeces,Shield,09:57:30,SK0209,NA,23.8,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample1106,Sample1106,NA,Wild,NA,NA,Midway_Atoll,29/11/2018,Intestinal contents (colon),70% isopropyl alcohol until moved to DNA/RNA Shield for shipping from US to the UK,NA,Sample1106,NA,NA,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1107,Sample1107,UK,Wild,NA,NA,Wytham,13/11/2020,Faeces,Shield,NA,Sample1107,NA,17.7,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1108,Sample1108,UK,Wild,NA,NA,Skokholm,04/09/2020,Faeces,Shield,13:40:23,SK0248,NA,23.6,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Sample1110,Sample1110,UK,Wild,NA,NA,Skokholm,28/09/2020,Faeces,Shield,NA,SK0317,NA,19.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1112,Sample1112,UK,Wild,NA,NA,Skokholm,30/08/2020,Faeces,Shield,NA,SK0229,NA,18.3,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1113,Sample1113,UK,Wild,NA,NA,Skokholm,24/09/2020,Faeces,Shield,12:45:05,SK0271,NA,25,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample1114,Sample1114,UK,Wild,NA,NA,Skokholm,18/09/2020,Faeces,Shield,NA,X041A1F335E,NA,17.8,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1116,Sample1116,UK,Wild,NA,NA,Wytham,13/11/2020,Faeces,Shield,NA,Sample1116,NA,15.4,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1117,Sample1117,UK,Wild,NA,NA,Skokholm,24/04/2021,Faeces,Shield,NA,SK0319,NA,15.8,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1119,Sample1119,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1119,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1120,Sample1120,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1120,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1121,Sample1121,UK,Wild,NA,NA,Skokholm,16/04/2021,Faeces,Shield,NA,SK0231,NA,22.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1122,Sample1122,NA,Wild,NA,NA,Midway_Atoll,29/11/2018,Intestinal contents (colon),70% isopropyl alcohol until moved to DNA/RNA Shield for shipping from US to the UK,NA,Sample1122,NA,NA,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1124,Sample1124,France,Wild,NA,NA,Espelette,NA,Intestinal contents (colon),PBS,NA,JJM0206,NA,NA,Female,No,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1126,Sample1126,Germany,Wild,NA,NA,Cologne,NA,Intestinal contents (cecum),RNAlater,NA,CB02,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1127,Sample1127,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,18:08:56,SK0043,NA,NA,Female,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample1129,Sample1129,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1129,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1130,Sample1130,UK,Wild,NA,NA,Skokholm,17/04/2021,Faeces,Shield,NA,SK0321,NA,23.8,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1131,Sample1131,UK,Wild,NA,NA,Skokholm,27/08/2020,Faeces,Shield,NA,SK0179,NA,22.6,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample1132,Sample1132,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1132,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1134,Sample1134,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,20:21:25,X041917EDD6,NA,NA,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample1135,Sample1135,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1135,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1136,Sample1136,NA,Wild,NA,NA,Midway_Atoll,01/10/2018,Intestinal contents (colon),70% isopropyl alcohol until moved to DNA/RNA Shield for shipping from US to the UK,NA,Sample1136,NA,NA,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1137,Sample1137,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1137,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1138,Sample1138,UK,Wild,NA,NA,Skokholm,27/08/2020,Faeces,Shield,NA,SK0203,NA,17.6,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1139,Sample1139,UK,Wild,NA,NA,Skokholm,22/04/2021,Faeces,Shield,NA,SK0309,NA,19.3,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1140,Sample1140,UK,Wild,NA,NA,Skokholm,24/09/2020,Faeces,Shield,NA,X041A1F2404,NA,19.3,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1142,Sample1142,UK,Wild,NA,NA,Skokholm,19/09/2020,Faeces,Shield,NA,SK0282,NA,13.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1144,Sample1144,UK,Wild,NA,NA,Skokholm,29/08/2020,Faeces,Shield,NA,X041A1F294B,NA,16.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1146,Sample1146,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0075,NA,NA,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1147,Sample1147,UK,Wild,NA,NA,Skokholm,10/09/2020,Faeces,Shield,NA,SK0224,NA,22.2,Male,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sample1149,Sample1149,UK,Wild,NA,NA,Skokholm,23/09/2019,Faeces,Shield,NA,SK0126,NA,17.1,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1150,Sample1150,UK,Wild,NA,NA,Skokholm,21/09/2019,Faeces,Shield,NA,SK0084,NA,20.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1155,Sample1155,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0059,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1156,Sample1156,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,Shield,NA,SK0026,NA,19.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1161,Sample1161,UK,Wild,NA,NA,Skokholm,24/04/2021,Faeces,Shield,NA,SK0345,NA,23.3,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1162,Sample1162,UK,Wild,NA,NA,Skokholm,26/08/2020,Faeces,Shield,NA,SK0211,NA,16.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1163,Sample1163,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,NA,X041A1F2DB5,NA,19.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1168,Sample1168,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,X041918331E,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1172,Sample1172,UK,Wild,NA,NA,Skokholm,24/09/2020,Faeces,Shield,NA,SK0262,NA,25.8,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1173,Sample1173,UK,Wild,NA,NA,Skokholm,18/09/2020,Faeces,Shield,NA,SK0226,NA,19.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1179,Sample1179,UK,Wild,NA,NA,Skokholm,20/04/2021,Faeces,Shield,NA,SK0330,NA,23.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1182,Sample1182,UK,Wild,NA,NA,Skokholm,15/09/2020,Faeces,Shield,NA,X041A1F2404,NA,19.5,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1183,Sample1183,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,SK0139,NA,22.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1185,Sample1185,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,DNA/RNA Shield,NA,X04191836CF,NA,25,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1186,Sample1186,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0001,NA,27.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1188,Sample1188,UK,Wild,NA,NA,Skokholm,16/04/2021,Faeces,Shield,NA,SK0324,NA,21.3,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1189,Sample1189,UK,Wild,NA,NA,Skokholm,27/08/2020,Faeces,Shield,NA,X041A1F2AAE,NA,19.3,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1190,Sample1190,UK,Wild,NA,NA,Skokholm,23/04/2021,Faeces,Shield,NA,SK0284,NA,21.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1192,Sample1192,UK,Wild,NA,NA,Skokholm,17/04/2021,Faeces,Shield,NA,SK0293,NA,21.8,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1193,Sample1193,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0045,NA,20.5,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1194,Sample1194,UK,Wild,NA,NA,Skokholm,17/04/2021,Faeces,Shield,NA,SK0319,NA,16.1,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1196,Sample1196,UK,Wild,NA,NA,Skokholm,19/09/2020,Faeces,Shield,NA,SK0226,NA,19.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1197,Sample1197,UK,Wild,NA,NA,Skokholm,15/09/2020,Faeces,Shield,NA,SK0247,NA,8.8,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1198,Sample1198,UK,Wild,NA,NA,Skokholm,15/04/2021,Faeces,Shield,NA,X041A1F25AE,NA,24.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1199,Sample1199,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0163,NA,25,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1200,Sample1200,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,NA,SK0260,NA,18.9,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1202,Sample1202,UK,Wild,NA,NA,Skokholm,16/04/2021,Faeces,Shield,NA,SK0293,NA,21.1,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1203,Sample1203,UK,Wild,NA,NA,Skokholm,22/04/2021,Faeces,Shield,NA,SK0343,NA,24.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1204,Sample1204,UK,Wild,NA,NA,Skokholm,28/09/2020,Faeces,Shield,NA,SK0235,NA,17.9,Male,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sample1207,Sample1207,UK,Wild,NA,NA,Skokholm,18/09/2019,Faeces,Shield,NA,SK0055,NA,15.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1209,Sample1209,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,NA,X041917F18E,NA,20.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1210,Sample1210,UK,Wild,NA,NA,Skokholm,17/04/2021,Faeces,Shield,NA,SK0238,NA,25.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1212,Sample1212,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,NA,SK0291,NA,18.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1213,Sample1213,UK,Wild,NA,NA,Skokholm,18/07/2019,Faeces,Shield,NA,SK0033,NA,25.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1214,Sample1214,UK,Wild,NA,NA,Skokholm,19/09/2020,Faeces,Shield,NA,SK0249,NA,18,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1215,Sample1215,UK,Wild,NA,NA,Skokholm,24/04/2021,Faeces,Shield,NA,SK0325,NA,21.4,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1216,Sample1216,UK,Wild,NA,NA,Skokholm,20/04/2021,Faeces,Shield,NA,SK0331,NA,18.5,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1219,Sample1219,UK,Wild,NA,NA,Skokholm,16/04/2021,Faeces,Shield,NA,SK0326,NA,20.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1220,Sample1220,UK,Wild,NA,NA,Skokholm,27/04/2021,Faeces,Shield,NA,X041A1F6F1E,NA,16.8,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1223,Sample1223,UK,Wild,NA,NA,Skokholm,18/09/2020,Faeces,Shield,NA,X041A1F2DB5,NA,19.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1224,Sample1224,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0169,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1226,Sample1226,UK,Wild,NA,NA,Skokholm,17/04/2021,Faeces,Shield,NA,SK0284,NA,21.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1229,Sample1229,UK,Wild,NA,NA,Skokholm,24/04/2021,Faeces,Shield,NA,SK0284,NA,19.3,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1230,Sample1230,UK,Wild,NA,NA,Skokholm,28/09/2020,Faeces,Shield,NA,SK0224,NA,23.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1232,Sample1232,UK,Wild,NA,NA,Skokholm,20/04/2021,Faeces,Shield,NA,SK0335,NA,19.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1233,Sample1233,UK,Wild,NA,NA,Skokholm,19/09/2020,Faeces,Shield,NA,SK0260,NA,15.1,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1234,Sample1234,UK,Wild,NA,NA,Skokholm,25/04/2021,Faeces,Shield,NA,SK0344,NA,19.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1235,Sample1235,UK,Wild,NA,NA,Skokholm,29/04/2021,Faeces,Shield,NA,SK0335,NA,18.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1236,Sample1236,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0164,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1238,Sample1238,UK,Wild,NA,NA,Skokholm,18/09/2020,Faeces,Shield,NA,X041A1F23F9,NA,23.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1239,Sample1239,UK,Wild,NA,NA,Skokholm,23/09/2019,Faeces,Shield,NA,SK0120,NA,15.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1240,Sample1240,UK,Wild,NA,NA,Skokholm,19/04/2021,Faeces,Shield,NA,SK0329,NA,18,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1241,Sample1241,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,SK0009,NA,24.8,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1244,Sample1244,UK,Wild,NA,NA,Skokholm,28/04/2021,Faeces,Shield,NA,SK0330,NA,25,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1247,Sample1247,UK,Wild,NA,NA,Skokholm,22/04/2021,Faeces,Shield,NA,SK0339,NA,20.3,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1248,Sample1248,UK,Wild,NA,NA,Skokholm,28/04/2021,Faeces,Shield,NA,SK0343,NA,23.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1249,Sample1249,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,NA,SK0069,NA,NA,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1250,Sample1250,UK,Wild,NA,NA,Skokholm,23/04/2021,Faeces,Shield,NA,SK0319,NA,16.8,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1253,Sample1253,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,Shield,NA,SK0095,NA,19.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1254,Sample1254,UK,Wild,NA,NA,Skokholm,29/04/2021,Faeces,Shield,NA,SK0343,NA,24,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1257,Sample1257,UK,Wild,NA,NA,Skokholm,28/08/2020,Faeces,Shield,NA,SK0230,NA,25.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1260,Sample1260,UK,Wild,NA,NA,Skokholm,28/09/2020,Faeces,Shield,NA,SK0313,NA,16.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1261,Sample1261,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0005,NA,25.8,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1265,Sample1265,UK,Wild,NA,NA,Skokholm,28/04/2021,Faeces,Shield,NA,SK0331,NA,20.3,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1266,Sample1266,UK,Wild,NA,NA,Skokholm,01/05/2019,Faeces,DNA/RNA Shield,NA,SK0005,NA,24.1,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1267,Sample1267,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0068,NA,18.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1271,Sample1271,UK,Wild,NA,NA,Skokholm,19/04/2021,Faeces,Shield,NA,SK0331,NA,21.4,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1272,Sample1272,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,Shield,NA,SK0093,NA,21.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1277,Sample1277,UK,Wild,NA,NA,Skokholm,15/04/2021,Faeces,Shield,NA,SK0324,NA,20.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1279,Sample1279,UK,Wild,NA,NA,Skokholm,17/04/2021,Faeces,Shield,NA,X041A1F25AE,NA,25.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1280,Sample1280,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0164,NA,21.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1281,Sample1281,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,SK0050,NA,25,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1282,Sample1282,UK,Wild,NA,NA,Skokholm,27/04/2021,Faeces,Shield,NA,SK0330,NA,21.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1283,Sample1283,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0003,NA,NA,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1289,Sample1289,UK,Wild,NA,NA,Skokholm,17/04/2021,Faeces,Shield,NA,SK0325,NA,19,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1291,Sample1291,UK,Wild,NA,NA,Skokholm,19/08/2020,Faeces,Shield,NA,SK0206,NA,22.7,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1292,Sample1292,UK,Wild,NA,NA,Skokholm,23/04/2021,Faeces,Shield,NA,SK0238,NA,24.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1293,Sample1293,UK,Wild,NA,NA,Skokholm,29/04/2021,Faeces,Shield,NA,SK0269,NA,21.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1295,Sample1295,UK,Wild,NA,NA,Skokholm,20/04/2021,Faeces,Shield,NA,SK0333,NA,22.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1297,Sample1297,UK,Wild,NA,NA,Skokholm,25/04/2021,Faeces,Shield,NA,SK0323,NA,19.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1298,Sample1298,UK,Wild,NA,NA,Skokholm,27/04/2021,Faeces,Shield,NA,SK0343,NA,23.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1300,Sample1300,UK,Wild,NA,NA,Skokholm,20/04/2021,Faeces,Shield,NA,SK0337,NA,23,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1301,Sample1301,UK,Wild,NA,NA,Skokholm,15/04/2021,Faeces,Shield,NA,SK0293,NA,20.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1310,Sample1310,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,SK0147,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1311,Sample1311,UK,Wild,NA,NA,Skokholm,22/04/2021,Faeces,Shield,NA,SK0337,NA,22.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1312,Sample1312,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,Shield,NA,SK0084,NA,21.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1316,Sample1316,UK,Wild,NA,NA,Skokholm,28/09/2020,Faeces,Shield,NA,SK0223,NA,10.2,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1317,Sample1317,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0147,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1318,Sample1318,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,NA,X041A1F335E,NA,16.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1321,Sample1321,UK,Wild,NA,NA,Skokholm,25/04/2021,Faeces,Shield,NA,SK0345,NA,22.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1322,Sample1322,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,NA,SK0291,NA,17.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1323,Sample1323,UK,Wild,NA,NA,Skokholm,25/04/2021,Faeces,Shield,NA,SK0284,NA,18.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1324,Sample1324,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,NA,SK0319,NA,14.9,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1325,Sample1325,UK,Wild,NA,NA,Skokholm,28/04/2021,Faeces,Shield,NA,X041A1F6F1E,NA,16.7,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1326,Sample1326,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,NA,SK0288,NA,18.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1328,Sample1328,UK,Wild,NA,NA,Skokholm,19/09/2020,Faeces,Shield,NA,SK0224,NA,24.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1330,Sample1330,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,NA,SK0326,NA,7.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1332,Sample1332,UK,Wild,NA,NA,Skokholm,04/09/2020,Faeces,Shield,NA,SK0209,NA,25.7,Male,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Sample1333,Sample1333,UK,Wild,NA,NA,Skokholm,24/08/2020,Faeces,Shield,NA,SK0222,NA,25.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1334,Sample1334,UK,Wild,NA,NA,Skokholm,22/04/2021,Faeces,Shield,NA,SK0330,NA,21.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1335,Sample1335,UK,Wild,NA,NA,Skokholm,20/09/2020,Faeces,Shield,NA,SK0293,NA,12.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1336,Sample1336,UK,Wild,NA,NA,Skokholm,27/08/2020,Faeces,Shield,NA,SK0225,NA,23.9,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1337,Sample1337,UK,Wild,NA,NA,Skokholm,16/09/2020,Faeces,Shield,NA,X041A1F2990,NA,26.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1338,Sample1338,UK,Wild,NA,NA,Skokholm,16/04/2021,Faeces,Shield,NA,SK0325,NA,21.5,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
