,Sequencing_ID,Country,Source,Strain,Facility,Population,Collection_date,Sample_type,Preservative,Preservation time of faecal sample,Animal_ID,Birthdate,Body_mass_g,Sex,Health_status,Sample used in cross-sectional lab vs wild analyses,"Sample used in longitudinal, microbiota distance-based lab vs wild analyses","Sample used in longitudinal, ASV retention lab vs wild analyses",Sample used in mainland vs island analyses,Sample used in sample preservative analyses,Sample used in faecal sample exposure analyses
Sample247,Sample247,UK,Wild,NA,NA,Skokholm,15/07/2019,Faeces,DNA/RNA Shield,NA,SK0027,NA,30.1,Male,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Sample248,Sample248,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,RNAlater,NA,SK0015,NA,23.9,Male,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample249,Sample249,UK,Wild,NA,NA,Skokholm,12/07/2019,Faeces,No preservative,NA,X041A557019,NA,24.9,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample25,Sample25,UK,Wild,NA,NA,Skokholm,18/09/2020,Faeces,Shield,NA,SK0282,NA,13.3,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample250,Sample250,UK,Wild,NA,NA,Skokholm,21/09/2019,Faeces,DNA/RNA Shield,NA,X041A5560B6,NA,19.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample251,Sample251,UK,Wild,NA,NA,Skokholm,09/07/2019,Faeces,98% ethanol,NA,SK0003,NA,25.6,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample252,Sample252,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,DNA/RNA Shield,NA,SK0015,NA,23.9,Male,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample253,Sample253,UK,Wild,NA,NA,Skokholm,24/09/2020,Faeces,Shield,NA,SK0297,NA,22.4,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample255,Sample255,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,98% ethanol,NA,SK0050,NA,24.8,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample256,Sample256,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,No preservative,NA,SK0050,NA,24.8,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample257,Sample257,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,No preservative,NA,SK0015,NA,23.9,Male,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample259,Sample259,UK,Wild,NA,NA,Skokholm,14/07/2019,Faeces,RNAlater,NA,SK0033,NA,17.2,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample261,Sample261,UK,Wild,NA,NA,Skokholm,19/08/2020,Faeces,Shield,NA,SK0211,NA,15.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample263,Sample263,UK,Wild,NA,NA,Skokholm,14/07/2019,Faeces,DNA/RNA Shield,NA,SK0033,NA,17.2,Female,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Sample264,Sample264,UK,Wild,NA,NA,Skokholm,12/07/2019,Faeces,DNA/RNA Shield,NA,X041A557019,NA,24.9,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample265,Sample265,UK,Wild,NA,NA,Skokholm,12/07/2019,Faeces,DNA/RNA Shield,NA,X041A556696,NA,25.1,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample266,Sample266,UK,Wild,NA,NA,Skokholm,18/07/2019,Faeces,RNAlater,NA,SK0014,NA,25.9,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample267,Sample267,UK,Wild,NA,NA,Skokholm,09/07/2019,Faeces,DNA/RNA Shield,NA,SK0003,NA,25.6,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample268,Sample268,UK,Wild,NA,NA,Skokholm,19/08/2020,Faeces,Shield,13:14:13,SK0209,NA,23.8,Male,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Sample27,Sample27,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,X0419180E69,NA,NA,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample271,Sample271,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,RNAlater,NA,X041A556696,NA,23.6,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample272,Sample272,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,DNA/RNA Shield,NA,X0419180676,NA,12.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample273,Sample273,UK,Wild,NA,NA,Skokholm,12/07/2019,Faeces,RNAlater,NA,X041A557019,NA,24.9,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample274,Sample274,UK,Wild,NA,NA,Skokholm,16/07/2019,Faeces,RNAlater,NA,SK0022,NA,22.5,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample275,Sample275,UK,Wild,NA,NA,Skokholm,16/07/2019,Faeces,RNAlater,NA,SK0003,NA,25.1,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample277,Sample277,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,NA,SK0321,NA,15.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample279,Sample279,UK,Wild,NA,NA,Skokholm,15/07/2019,Faeces,RNAlater,NA,SK0001,NA,30.6,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample280,Sample280,UK,Wild,NA,NA,Skokholm,17/07/2019,Faeces,DNA/RNA Shield,NA,SK0043,NA,21.3,Female,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Sample282,Sample282,UK,Wild,NA,NA,Skokholm,15/07/2019,Faeces,DNA/RNA Shield,NA,SK0001,NA,30.6,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample283,Sample283,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,DNA/RNA Shield,18:16:26,SK0046,NA,21.2,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample284,Sample284,UK,Wild,NA,NA,Skokholm,30/08/2020,Faeces,Shield,NA,Sample284,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample285,Sample285,UK,Wild,NA,NA,Skokholm,20/09/2020,Faeces,Shield,NA,SK0260,NA,15.8,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample286,Sample286,UK,Wild,NA,NA,Skokholm,12/09/2020,Faeces,Shield,NA,X041A1F3083,NA,14.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample288,Sample288,UK,Wild,NA,NA,Skokholm,16/09/2020,Faeces,Shield,NA,SK0251,NA,19.8,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample289,Sample289,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,16:51:57,Sample289,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Sample29,Sample29,UK,Wild,NA,NA,Skokholm,10/09/2020,Faeces,Shield,NA,SK0225,NA,23.3,Unknown,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample290,Sample290,UK,Wild,NA,NA,Skokholm,13/07/2019,Faeces,Shield,NA,SK0029,NA,15,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample297,Sample297,UK,Wild,NA,NA,Skokholm,18/07/2019,Faeces,Shield,NA,X041A556CB0,NA,24.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample299,Sample299,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,SK0068,NA,NA,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample3,Sample3,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,11:15:04,X041A1F26B6,NA,20.9,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample30,Sample30,UK,Wild,NA,NA,Skokholm,12/09/2020,Faeces,Shield,NA,X041A1F2404,NA,21.3,Female,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample302,Sample302,UK,Wild,NA,NA,Skokholm,24/09/2020,Faeces,Shield,NA,SK0309,NA,12.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample303,Sample303,UK,Wild,NA,NA,Skokholm,07/09/2020,Faeces,Shield,10:10:22,SK0244,NA,24.3,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample304,Sample304,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,18:32:25,SK0129,NA,NA,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample305,Sample305,UK,Wild,NA,NA,Skokholm,17/07/2019,Faeces,Shield,NA,SK0002,NA,26,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample307,Sample307,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,17:27:33,X04191836CF,NA,NA,Female,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample31,Sample31,UK,Wild,NA,NA,Skokholm,04/09/2020,Faeces,Shield,NA,SK0225,NA,24.4,Unknown,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample310,Sample310,UK,Wild,NA,NA,Skokholm,14/09/2020,Faeces,Shield,NA,SK0261,NA,20.2,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample312,Sample312,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,X04191833EE,NA,23.2,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample313,Sample313,UK,Wild,NA,NA,Skokholm,23/09/2019,Faeces,Shield,NA,SK0046,NA,21.1,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample314,Sample314,UK,Wild,NA,NA,Skokholm,23/09/2019,Faeces,Shield,18:22:05,SK0101,NA,NA,Female,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample315,Sample315,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0087,NA,21.2,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample319,Sample319,UK,Wild,NA,NA,Skokholm,04/09/2020,Faeces,Shield,NA,X041A1F2FC6,NA,16.7,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample321,Sample321,UK,Wild,NA,NA,Skokholm,23/09/2019,Faeces,Shield,NA,SK0082,NA,19.8,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample326,Sample326,UK,Wild,NA,NA,Skokholm,07/09/2020,Faeces,Shield,10:19:51,X041A1F2DB5,NA,21.2,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample327,Sample327,UK,Wild,NA,NA,Skokholm,08/09/2020,Faeces,Shield,NA,X041A1F2FC6,NA,17.2,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample328,Sample328,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0169,NA,20.8,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample329,Sample329,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0090,NA,18.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample334,Sample334,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,NA,SK0255,NA,9.7,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample336,Sample336,UK,Wild,NA,NA,Skokholm,23/09/2019,Faeces,Shield,18:12:22,SK0107,NA,20.5,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample342,Sample342,UK,Wild,NA,NA,Skokholm,10/09/2020,Faeces,Shield,NA,SK0234,NA,18.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample343,Sample343,UK,Wild,NA,NA,Skokholm,19/09/2020,Faeces,Shield,NA,SK0290,NA,23.3,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample345,Sample345,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,NA,SK0130,NA,19.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample35,Sample35,UK,Wild,NA,NA,Skokholm,14/09/2020,Faeces,Shield,NA,SK0253,NA,22.3,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample350,Sample350,UK,Wild,NA,NA,Skokholm,30/08/2020,Faeces,Shield,NA,SK0203,NA,18.6,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample351,Sample351,UK,Wild,NA,NA,Skokholm,30/08/2020,Faeces,Shield,NA,SK0223,NA,5.3,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample352,Sample352,UK,Wild,NA,NA,Skokholm,26/09/2019,Faeces,Shield,NA,SK0077,NA,13.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample354,Sample354,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,20:20:29,SK0155,NA,23.8,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
